No.,Updated Date,Nama Barang,Brand,Supplier,kg/bal,Harga Pokok,Pokok/kg,%,bal,%,1kg,%,500gr,%,250gr,%,gr/10rb,%,gr/5rb
8,2026-03-13,Basreng Stik,33 Jaya,Metro Snack Balaraja,2,"Rp74,000","Rp37,000",30,"Rp97,000",40,"Rp54,000",40,"Rp28,000",50,"Rp16,000",50,144,50,54
91,2026-03-17,Permen Jahe,Adila,Metro Snack Balaraja,5,"Rp130,000","Rp26,000",30,"Rp169,000",40,"Rp39,000",40,"Rp21,000",50,"Rp12,000",50,205,50,77
95,2026-03-23,Kacang Asin,Argo Sari,Efendi Jaya Snack,2.5,"Rp110,000","Rp44,000",22,"Rp135,000",25,"Rp57,000",25,"Rp30,000",50,"Rp19,000",50,121,50,45
42,2026-03-13,Makaroni mini Ayam Geprek,Asha,Snack Citra Rasa,3,"Rp78,000","Rp26,000",30,"Rp102,000",40,"Rp39,000",40,"Rp21,000",50,"Rp12,000",50,205,50,77
49,2026-03-13,Makaroni Mini Nasgor,Asha,Metro Snack Balaraja,3,"Rp82,000","Rp28,000",30,"Rp107,000",40,"Rp42,000",40,"Rp22,000",50,"Rp13,000",50,190,50,71
53,2026-03-13,Makaroni Rujak,Asha,Metro Snack Balaraja,2,"Rp63,000","Rp32,000",30,"Rp82,000",40,"Rp47,000",40,"Rp25,000",50,"Rp14,000",50,167,50,63
75,2026-03-13,Astor,Asten,Snack Citra Rasa,2.8,"Rp95,000","Rp34,000",30,"Rp124,000",40,"Rp50,000",40,"Rp26,000",50,"Rp15,000",50,157,50,59
14,2026-03-13,Astor Kaleng,Barcelona,Metro Snack Balaraja,4,"Rp131,000","Rp33,000",30,"Rp171,000",40,"Rp49,000",40,"Rp26,000",50,"Rp15,000",50,162,50,61
89,2026-03-17,Kuping Gajah Mini Warna,Bastel,Snack Citra Rasa,1.6,"Rp42,000","Rp27,000",30,"Rp55,000",40,"Rp40,000",40,"Rp21,000",50,"Rp13,000",50,198,50,74
94,2026-03-17,Sumpia,Bibit Intik,Snack Citra Rasa,5,"Rp182,000","Rp37,000",30,"Rp237,000",40,"Rp54,000",40,"Rp28,000",50,"Rp16,000",50,144,50,54
2,2026-03-13,Kacang Atom,Bima,Snack Citra Rasa,3,"Rp137,000","Rp46,000",30,"Rp179,000",30,"Rp62,000",30,"Rp32,000",30,"Rp17,000",50,116,50,43
29,2026-03-13,Keripik Singkong Asin,Bintang,Snack Citra Rasa,3,"Rp61,000","Rp21,000",30,"Rp80,000",40,"Rp32,000",40,"Rp17,000",50,"Rp10,000",70,224,50,95
34,2026-03-13,Kerupuk Jablay Kencur,C & K,Snack Citra Rasa,2.2,"Rp75,000","Rp35,000",30,"Rp98,000",40,"Rp51,000",40,"Rp27,000",50,"Rp16,000",50,152,50,57
